tr,ta,tc,to,tu,co,cu,cm,cf
0.0,1,2.0,875.0,998.0,236.0,121.0,205.0,61.0
0.1,1,54.0,594.0,711.0,169.0,102.0,225.0,75.0
0.2,1,47.0,571.0,699.0,169.0,96.0,225.0,86.0
0.30000000000000004,1,47.0,571.0,699.0,169.0,96.0,225.0,86.0
0.4,1,47.0,571.0,699.0,169.0,96.0,225.0,86.0
0.5,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
0.6,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
0.7,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
0.7999999999999999,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
0.8999999999999999,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
0.9999999999999999,1,3.0,569.0,699.0,167.0,96.0,225.0,88.0
